customer_id,product_id,content_rank_score,past_quantity,global_popularity,unit_price,product_rating,is_new_customer,als_score,target
CUST-000441,PROD-000802,0.25,3,489,84.69,4.0,0,1.000520944595337,0
CUST-000441,PROD-000846,1.0,5,521,210.19,2.8,0,0.9447017312049866,0
CUST-000637,PROD-000680,0.1111111111111111,1,452,107.72,3.1,0,0.9183884263038635,0
CUST-000637,PROD-000420,0.125,1,517,258.51,3.9,0,0.6695594787597656,0
CUST-000649,PROD-000335,0.125,2,435,351.08,4.4,0,0.8711000680923462,0
CUST-000649,PROD-000652,0.2,3,492,446.68,4.7,0,0.8996198177337646,0
CUST-001023,PROD-000267,0.25,0,442,107.53,4.2,0,-0.03306853771209717,0
CUST-001023,PROD-000260,0.05555555555555555,0,569,111.12,4.0,0,0.08007431030273438,0
CUST-002031,PROD-000116,0.3333333333333333,4,514,531.1,2.6,0,0.8823622465133667,0
CUST-002031,PROD-000109,0.05263157894736842,0,468,768.41,3.8,0,0.009094186127185822,0
CUST-003028,PROD-000506,0.07142857142857142,0,469,10.53,4.7,0,-0.24802365899085999,0
CUST-003028,PROD-001147,0.5,5,573,279.17,3.3,0,0.9331955909729004,0
CUST-003116,PROD-000533,1.0,4,451,29.19,2.7,0,0.9703235626220703,0
CUST-003116,PROD-000904,0.3333333333333333,3,496,113.26,3.7,0,0.8640143275260925,0
CUST-003661,PROD-000176,0.14285714285714285,2,523,151.23,3.2,0,0.9254788160324097,0
CUST-003661,PROD-000380,0.125,2,559,260.19,3.9,0,0.963214635848999,0
CUST-004259,PROD-000451,0.058823529411764705,0,462,436.84,3.6,0,0.2949846386909485,0
CUST-004259,PROD-000454,1.0,4,520,306.37,3.0,0,0.9215132594108582,0
CUST-004736,PROD-000897,0.05555555555555555,0,537,180.11,3.8,0,0.03701561689376831,0
CUST-004736,PROD-000507,0.14285714285714285,2,493,27.04,2.6,0,0.8983303904533386,0
CUST-004979,PROD-000673,0.05555555555555555,0,497,221.46,2.6,0,-0.30086374282836914,0
CUST-004979,PROD-000640,0.07142857142857142,0,566,363.97,3.5,0,-0.29138311743736267,0
CUST-005878,PROD-000767,0.125,4,576,45.79,4.4,0,0.9041578769683838,0
CUST-005878,PROD-000996,0.06666666666666667,3,572,968.68,3.7,0,0.8846518397331238,0
CUST-006077,PROD-000454,0.05263157894736842,0,520,306.37,3.0,0,0.39915233850479126,0
CUST-006077,PROD-000820,0.1111111111111111,1,494,160.3,3.5,0,0.6251441836357117,0
CUST-006109,PROD-000294,1.0,5,511,41.08,4.1,0,0.9700902104377747,0
CUST-006109,PROD-000538,0.16666666666666666,3,567,55.56,3.3,0,0.9452739953994751,0
CUST-006244,PROD-000136,0.07142857142857142,1,514,726.87,2.5,0,0.6754957437515259,0
CUST-006244,PROD-000637,0.09090909090909091,1,573,209.62,3.2,0,0.7870690822601318,0
CUST-006317,PROD-000340,0.1111111111111111,2,513,233.66,2.6,0,0.8787088990211487,0
CUST-006317,PROD-000045,0.2,3,538,355.82,4.8,0,0.8061473369598389,0
CUST-007139,PROD-000912,0.14285714285714285,2,533,335.86,4.4,0,0.9023115634918213,0
CUST-007139,PROD-000419,0.09090909090909091,2,588,350.64,3.0,0,0.853192150592804,0
CUST-007406,PROD-000541,0.25,3,492,42.56,3.8,0,0.9019584655761719,0
CUST-007406,PROD-000483,0.3333333333333333,4,580,58.48,4.8,0,0.9278033375740051,0
CUST-007689,PROD-000795,0.07692307692307693,1,500,276.24,3.3,0,0.7095181941986084,0
CUST-007689,PROD-001084,0.25,3,509,64.98,2.8,0,0.9705010652542114,0
CUST-008068,PROD-000499,0.08333333333333333,0,460,52.24,4.0,0,0.18458251655101776,0
CUST-008068,PROD-000628,0.05,0,443,176.56,4.3,0,0.18434692919254303,0
CUST-008402,PROD-000259,0.05,0,550,121.62,3.1,0,0.4096994698047638,0
CUST-008402,PROD-000246,0.1111111111111111,0,557,132.81,4.5,0,-0.21340911090373993,0
CUST-008421,PROD-001148,0.5,4,595,163.03,4.9,0,0.8762999176979065,0
CUST-008421,PROD-000158,0.06666666666666667,0,476,291.57,4.6,0,-0.013945888727903366,0
CUST-008649,PROD-000666,0.05555555555555555,1,505,401.03,2.7,0,0.8137338161468506,0
CUST-008649,PROD-000247,0.25,3,488,71.48,3.6,0,0.8500972986221313,0
CUST-008887,PROD-000119,0.07692307692307693,2,585,149.4,2.6,0,0.9824984073638916,0
CUST-008887,PROD-000844,0.3333333333333333,4,486,249.48,4.5,0,0.9396739602088928,0
CUST-009374,PROD-000611,0.05555555555555555,1,542,196.29,3.9,0,0.8862390518188477,0
CUST-009374,PROD-001007,0.1,2,575,114.94,3.2,0,0.9496906995773315,0
CUST-009416,PROD-000632,0.05,0,489,52.75,4.3,0,0.15705758333206177,0
CUST-009416,PROD-000121,0.08333333333333333,1,493,371.72,3.6,0,0.7605740427970886,0
